active species,perturbing species,J',Ka',Kc',J",Ka",Kc",gamma,percentage error in gamma,absolute uncertainty in gamma,n,temperature (K),line profile,notes
H2O,CO2,1,1,0,1,0,1,0.2037,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,1,0,1,1,1,0,0.2040,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,4,4,0,3,3,1,0.0989,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,3,3,1,4,4,0,0.0963,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,4,4,1,3,3,0,0.1025,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,3,3,0,4,4,1,0.0946,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,4,3,1,3,2,2,0.1094,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,3,2,2,4,3,1,0.1092,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,4,2,2,4,1,3,0.1681,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,4,1,3,4,2,2,0.1689,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Rotational assignment inferred from paired transition text '+13+422'. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,3,1,2,4,2,3,0.1428,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,4,2,3,3,1,2,0.1535,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,4,2,3,4,1,4,0.1104,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,3,2,1,2,1,2,0.1615,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,2,1,2,3,2,1,0.1595,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Rotational assignment inferred from paired transition text '212-321'. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,4,0,4,3,1,3,0.1182,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Rotational assignment inferred from text '10 4 <- 3 1 3', assumed typo for '4 0 4'. Error values, 'n', and profile not reported. Temperature is from Table 1."
H2O,CO2,3,1,3,4,0,4,0.1236,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,3,2,1,3,1,2,0.1679,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,3,1,2,3,2,1,0.1641,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Rotational assignment inferred from paired transition text '12+321'. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,2,0,2,1,1,1,0.1801,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Rotational assignment inferred from paired transition text '202-111'. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,1,1,1,2,0,2,0.1833,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,6,2,5,5,1,4,0.1332,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Rotational assignment inferred from text '2.5<-5.4' and Jm/Km values. Error values, 'n', and profile not reported. Temperature is from Table 1."
H2O,CO2,6,1,6,7,0,7,0.1201,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Rotational assignment inferred from text '1 6 <- 7 0 7'. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,7,0,7,6,1,6,0.0818,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,8,1,8,7,0,7,0.0814,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Rotational assignment inferred from text '1 8 <- 7 0 7'. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,7,0,7,8,1,8,0.0812,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Error values, temperature exponent 'n', and line profile not reported. Temperature is a representative value for the 6um experiments from Table 1."
H2O,CO2,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,0.0862,N/A,N/A,N/A,295.5,N/A,"Source: Table 3. Rotational assignment '606 717' is ambiguous. Error values, 'n', and profile not reported. Temperature is a representative value from Table 1."
