active species,perturbing species,J',Ka',Kc',J",Ka",Kc",gamma (cm-1 atm-1),percentage error in gamma,absolute uncertainty in gamma (cm-1 atm-1),n,temperature (K),line profile,notes
NO,CO2,12.5,N/A,N/A,11.5,N/A,N/A,0.07999,0.55,0.00044,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω3/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,CO2,12.5,N/A,N/A,11.5,N/A,N/A,0.07292,0.71,0.00052,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω1/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,N2,12.5,N/A,N/A,11.5,N/A,N/A,0.05813,0.53,0.00031,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω3/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,N2,12.5,N/A,N/A,11.5,N/A,N/A,0.05080,0.53,0.00027,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω1/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,Ar,12.5,N/A,N/A,11.5,N/A,N/A,0.04264,0.52,0.00022,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω3/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,Ar,12.5,N/A,N/A,11.5,N/A,N/A,0.03767,0.50,0.00019,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω1/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,O2,12.5,N/A,N/A,11.5,N/A,N/A,0.05768,1.14,0.00066,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω3/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,O2,12.5,N/A,N/A,11.5,N/A,N/A,0.05088,1.04,0.00053,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω1/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,H2,12.5,N/A,N/A,11.5,N/A,N/A,0.07167,0.60,0.00043,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω3/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,H2,12.5,N/A,N/A,11.5,N/A,N/A,0.06277,0.61,0.00038,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω1/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,He,12.5,N/A,N/A,11.5,N/A,N/A,0.04417,0.52,0.00023,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω3/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,He,12.5,N/A,N/A,11.5,N/A,N/A,0.03779,0.53,0.00020,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω1/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,Air,12.5,N/A,N/A,11.5,N/A,N/A,0.05804,1.23,0.00071,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω3/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
NO,Air,12.5,N/A,N/A,11.5,N/A,N/A,0.05082,1.23,0.00063,N/A,294,Voigt,"Source: Table 2 [1]; Transition: R11.5 Ω1/2; K quantum numbers N/A for diatomic NO; Temperature exponent n not provided"
