J,Jpp,Kc_aprox,Kcpp_aprox,active_B0a,active_B0b,active_B0c,active_dipole,active_m,active_polar,active_rms_quadrupole,active_weight,broadness_jeanna,d_act_per,is_self,m,perturber_B0a,perturber_B0b,perturber_B0c,perturber_dipole,perturber_m,perturber_polar,perturber_rms_quadrupole,perturber_weight
70.0,3.0,2.0,8.5,20.46362,9.94664516,1.43767,1.4719,6.0,1.562,3.65367851,35.976793,0.0550182,352.5,0.0,8.64,5.2412,0.20285674,1.6227512,1.857,2.64,8.749,0.98570685,44.0095
122.0,125.0,50.5,34.5,0.346,60.853,1.67195,1.81,2.0,5.453,1.3576325,31.9988,0.05438049,329.0,1.0,6.0,20.47007,14.5217696,51.3761602,0.715,2.64,1.953,1.6541585,93.9529
95.0,126.0,60.0,36.0,3.09855,0.82323552,10.4401993,0.0,4.0,5.39684463,0.78954903,28.0101,0.04071358,438.4,1.0,8.64,9.94664516,0.346,0.79287185,0.159,4.0,0.8,0.84357839,16.0425
71.0,70.5,71.0,75.0,20.47007,1.67195,0.34634,1.957,4.0,2.77,3.90888629,28.0134,0.05211999,347.85,0.0,6.0,5.182,0.50424,1.67195,0.159,4.0,2.103,0.36769553,44.0095
6.5,114.0,72.0,50.5,3.09855,0.85179,5.2412,0.828,4.0,2.77,1.6541585,44.071,0.12061224,344.7,1.0,8.0,100000.0,0.346,1.6227512,0.715,6.0,8.749,1.95366544,2.33375552
8.0,64.0,2.5,21.5,0.09107,6.42637,10.4401993,0.0,4.0,3.02,0.41295036,80.063,0.06320568,346.0,0.0,12.0,27.8806313,0.82323552,0.4912,1.857,6.0,5.39684463,0.83259471,16.0425
44.5,89.0,22.5,73.5,0.09107,0.3528,1.176646,1.6552,6.0,2.507,0.36769553,17.0305,0.03201732,330.75,0.0,4.0,20.47007,0.3528,60.853,1.51,2.0,5.39684463,0.36769553,79.926277
26.0,117.0,101.0,115.0,2.0273542,0.09107,1.13425949,1.2974,6.0,2.215,0.24859606,30.0061,0.05675657,356.95,0.0,12.0,0.09107,0.82323552,0.39021,0.159,2.0,1.953,1.95366544,60.075
133.0,62.5,110.0,4.0,20.46362,0.3528,0.79287185,1.67229184,6.0,3.02,0.0,32.0419,0.17210159,363.0,1.0,10.0,27.8806313,5.2412,1.43767,1.847,2.64,3.616,0.98994949,28.0101
114.0,49.5,31.5,26.0,20.46362,1.92252895,20.5597234,1.857,2.0,1.71,0.78954903,35.976793,0.06049039,386.0,1.0,6.0,0.09107,9.94664516,51.3761602,1.857,2.64,5.09,4.41046071,44.0095
35.0,134.0,24.5,29.0,4.25240851,18.5519677,18.5519677,1.38,4.0,3.438,3.90888629,31.9988,0.04815153,371.5,0.0,4.0,4.25240851,16051.1165,0.817084,1.51,2.0,5.09,2.00771188,17.0305
40.0,129.0,105.0,104.0,2.0273542,0.346,0.32192,1.2974,4.0,3.882,1.3576325,146.0554,0.13933063,376.5,0.0,4.0,0.09107,0.3528,0.817084,1.38,2.0,0.8,0.76412215,76.141
79.5,43.5,91.0,80.0,9.57789,0.39021,0.4912,2.331,2.0,5.09,2.83596962,64.064,0.05594409,429.4,0.0,6.0,20.47007,0.346,0.85179,0.159,4.0,19.029,2.09633013,17.0305
44.0,109.0,39.0,9.5,2.0273542,1.176646,0.8282,1.6552,4.0,1.953,3.65367851,17.0305,0.06320568,377.0,0.0,6.0,0.346,0.62048896,6.22750356,1.847,6.0,1.67892,0.07071068,95.92568
12.0,68.0,74.5,75.0,9.40552614,0.39021,0.20285674,0.159,4.0,3.487,1.3576325,31.9988,0.05211274,301.9,1.0,6.0,100000.0,1.6227512,9.27770838,1.81,4.0,0.8,0.83259471,35.976793
