,weight,dipole,m,d,polar,B0a,B0b,B0c,quadrupole_xx,quadrupole_yy,quadrupole_zz
(CH3)3CCN,83.134,3.95,2,600,9.59,0.1534,0.09163,0.09163,0.9,0.9,-1.8
0.84 H2 + 0.16 He,2.33375552,0,4.32,284.04,0.69436,100000,16051.1165,51.3761602,-0.2184,-0.2184,0.4368
15NO,30.9995,0.159,2,317,1.698,100000,1.6360,1.6360,-0.508,1.08,-0.572
air,28.97,0,4,360.4,1.67892,100000,1.6227512,1.6227512,0.589,0.589,-1.1772
AlCl,62.4342385,3.788,2,471.43,6.615,100000,0.24393,0.24393,1.668,1.668,-3.337
AlF,45.9799417,1.53,2,434.2,6.053,100000,0.5524798,0.5524798,2.705,2.705,-5.41
AlH,27.9893636,0.672,2,367.3,5.674,100000,6.39378,6.39378,3.767,3.767,-7.534
AlO,42.9764531,4.022,2,493.34,4.505,100000,0.64139,0.64139,1.541,1.541,-3.082
AsH3,77.9450697,0.2,2,461.95,5.468,3.822,3.822,3.371,1.0375,1.0375,-2.075
BeH,10.0200081,0.486,2,447.54,3.441,100000,10.31992,10.31992,2.07,2.07,-4.14
C2,24,0,4,393.2,5.814,100000,1.82005,1.82005,-1.4395,-1.4395,2.879
C2H2,26.0373,0,4,330,3.487,100000,1.176646,1.176646,-3.168,-3.168,6.335
C2H4,28.0532,0,4,390,4.188,4.828,1.0012,0.8282,-3.16,1.48,1.67
C2H5F,48.0595,1.94,2,450,4.16,1.20318,0.31237,0.27351,0.58,0.58,-1.16
C2H6,30.07,0,4,356.5,4.226,2.51967,0.68341,0.68341,0.336,0.336,-0.673
C2N2,52.0348,0,4,440,5.015,100000,0.1571,0.1571,4.7135,4.7135,-9.427
C4H2,50.0587,0,4,490,6.811,100000,0.14641,0.14641,-0.279,-0.279,0.558
CaF,58.960994,3.936,2,540.715,3.78,100000,0.3385,0.3385,4.1385,4.1385,-8.277
CaH,40.9704159,2.328,2,588.79,12.925,100000,4.2766,4.2766,5.835,5.835,-11.67
CaO,55.9575055,11.578,2,387.06,2.841,100000,0.4445,0.4445,3.971,3.971,-7.942
CaOH,56.9653305,2.576,2,647.08,13.479,100000,0.335,0.335,0.6615,0.6615,-1.323
CF3CCH,94.036,2.317,2,470,2.595,0.190827,0.09594,0.09594,1.205,1.205,-2.410
CF4,88.00431,0,4,470,2.824,0.19242,0.19242,0.19242,0,0,0
CH,13.007825,1.46,2,340.2,2.334,100000,14.45988,14.45988,1.924,-1.053,-0.871
CH3,15.0234751,0,4,363.2,1.298,9.57789,9.57789,4.74202,-0.327,-0.327,0.654
CH3-35Cl,50.0034,1.87,2,425,4.416,5.198,0.4434,0.4434,-0.615,-0.615,1.23
CH3Br,93.9529,1.81,2,426,5.61,5.24631,0.32192,0.32192,-1.78,-1.78,3.55
CH3Cl,50.4875,1.87,2,425,4.416,5.198,0.4434,0.4434,-0.615,-0.615,1.23
CH3CN,41.0519,3.919,2,458,4.28,5.28,0.30684,0.30684,0.9,0.9,-1.8
CH3D,17.0489,0.0056,2,380,2.448,5.2508209,3.8801947,3.8801947,0,0,0
